Crop	Scientific name 	Dependence on pollinators	Dependence rate	Pollinator group	Order	Family	Species	reference	doi/link	Obs
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Scirtidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Tenebrionidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Tenebrionidae	Morphospecies 2	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Coleoptera	Undetermined	Undetermined	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Calliphoridae	Lucilia eximia	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Chloropidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Dolichopodidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Empididae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Micropezidae	Teniaptera sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Milichiidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Muscidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Sarcophagidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Syrphidae	Copestylum sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Syrphidae	Sterphus (Ceriogaster) sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Syrphidae	Toxomerus sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Syrphidae	Ornidia obesa	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Tabanidae	Tabanus occidentalis	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Tephritidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	Ulidiidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Diptera	undetermined	Undetermined	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hemiptera	undetermined	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Apis mellifera	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Celetrigona longicornis	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Cephalotrigona capitata	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Ceratina sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Dolichotrigona longitarsis	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
